elapsed_s,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb
90.457,0,0,18478,46068
91.482,0,0,18478,46068
92.507,0,0,18478,46068
93.533,0,0,18478,46068
94.558,0,0,18478,46068
95.584,0,0,18478,46068
96.612,0,0,18478,46068
97.637,0,0,18478,46068
98.662,0,0,18478,46068
99.688,0,0,18478,46068
100.713,0,0,18478,46068
101.739,0,0,18478,46068
102.765,0,0,18478,46068
103.792,0,0,18478,46068
104.818,0,0,18478,46068
105.845,0,0,18478,46068
106.870,0,0,18478,46068
107.896,0,0,18478,46068
108.922,0,0,18478,46068
109.948,0,0,18478,46068
110.973,0,0,18478,46068
111.999,0,0,18478,46068
113.024,0,0,18478,46068
114.050,0,0,18478,46068
115.076,0,0,18478,46068
116.101,0,0,18478,46068
117.273,0,0,18478,46068
118.299,0,0,18478,46068
119.328,0,0,18478,46068
120.356,0,0,18478,46068
121.386,0,0,18478,46068
122.411,0,0,18478,46068
123.437,0,0,18478,46068
124.462,0,0,18478,46068
125.488,0,0,18478,46068
126.514,0,0,18478,46068
127.538,0,0,18478,46068
128.564,0,0,18478,46068
129.589,0,0,18478,46068
130.615,0,0,18478,46068
131.642,0,0,18478,46068
132.666,0,0,18478,46068
133.692,0,0,18478,46068
134.717,0,0,18478,46068
135.742,0,0,18478,46068
136.768,0,0,18478,46068
137.793,0,0,18478,46068
138.819,0,0,18478,46068
139.845,0,0,18478,46068
140.870,0,0,18478,46068
141.896,0,0,18478,46068
142.922,0,0,18478,46068
143.949,0,0,18478,46068
144.974,0,0,18478,46068
146.000,0,0,18478,46068
147.027,0,0,18478,46068
148.052,0,0,18478,46068
149.077,0,0,18478,46068
150.105,0,0,18478,46068
151.131,0,0,18478,46068
152.156,0,0,18478,46068
153.180,0,0,18478,46068
154.206,0,0,18478,46068
155.233,0,0,18478,46068
156.260,0,0,18478,46068
157.286,0,0,18478,46068
158.312,0,0,18478,46068
159.338,0,0,18478,46068
160.364,0,0,18478,46068
161.390,0,0,18478,46068
162.417,0,0,18478,46068
163.442,0,0,18478,46068
164.469,0,0,18478,46068
165.495,0,0,18478,46068
166.525,0,0,18478,46068
167.550,0,0,18478,46068
168.576,0,0,18478,46068
169.602,0,0,18478,46068
170.630,0,0,18478,46068
171.656,0,0,18478,46068
172.682,0,0,18478,46068
173.708,0,0,18478,46068
174.733,0,0,18478,46068
175.759,0,0,18478,46068
176.785,0,0,18478,46068
177.811,0,0,18478,46068
178.875,0,0,18478,46068
179.903,0,0,18478,46068
180.929,0,0,18478,46068
181.956,0,0,18478,46068
182.982,0,0,18478,46068
184.007,0,0,18478,46068
185.033,0,0,18478,46068
186.058,0,0,18478,46068
187.083,0,0,18478,46068
188.110,0,0,18478,46068
189.136,0,0,18478,46068
190.162,0,0,18478,46068
191.188,0,0,18478,46068
192.214,0,0,18478,46068
193.238,0,0,18478,46068
194.265,0,0,18478,46068
195.292,0,0,18478,46068
196.318,0,0,18478,46068
197.344,0,0,18478,46068
198.369,0,0,18478,46068
199.394,0,0,18478,46068
200.420,0,0,18478,46068
201.448,0,0,18478,46068
202.474,0,0,18478,46068
203.499,0,0,18478,46068
204.527,0,0,18478,46068
205.552,0,0,18478,46068
206.579,0,0,18478,46068
207.604,0,0,18478,46068
208.633,0,0,18478,46068
209.659,0,0,18478,46068
210.685,0,0,18478,46068
211.710,0,0,18478,46068
212.736,0,0,18478,46068
213.762,0,0,18478,46068
214.787,0,0,18478,46068
215.812,0,0,18478,46068
216.838,0,0,18478,46068
217.864,0,0,18478,46068
218.890,0,0,18478,46068
219.916,0,0,18478,46068
220.942,0,0,18478,46068
221.967,0,0,18478,46068
222.993,0,0,18478,46068
224.018,0,0,18478,46068
225.043,0,0,18478,46068
226.069,0,0,18478,46068
227.095,0,0,18478,46068
228.120,0,0,18478,46068
229.147,0,0,18478,46068
230.173,0,0,18478,46068
231.197,0,0,18478,46068
232.222,0,0,18478,46068
233.248,0,0,18478,46068
234.274,0,0,18478,46068
235.300,0,0,18478,46068
236.325,0,0,18478,46068
237.351,0,0,18478,46068
238.377,0,0,18478,46068
239.405,0,0,18478,46068
240.432,0,0,18478,46068
241.459,0,0,18478,46068
242.486,0,0,18478,46068
243.511,0,0,18478,46068
244.536,0,0,18478,46068
245.565,0,0,18478,46068
246.592,0,0,18478,46068
247.618,0,0,18478,46068
248.643,0,0,18478,46068
249.668,0,0,18478,46068
250.694,0,0,18478,46068
251.722,0,0,18478,46068
252.747,0,0,18478,46068
253.773,0,0,18478,46068
254.797,0,0,18478,46068
255.823,0,0,18478,46068
256.853,0,0,18478,46068
257.878,0,0,18478,46068
258.907,0,0,18478,46068
259.933,0,0,18478,46068
260.958,0,0,18478,46068
261.984,0,0,18478,46068
263.009,0,0,18478,46068
264.035,0,0,18478,46068
265.060,0,0,18478,46068
266.086,0,0,18478,46068
267.278,0,0,18478,46068
268.304,0,0,18478,46068
269.329,0,0,18478,46068
270.355,0,0,18478,46068
271.382,0,0,18478,46068
272.407,0,0,18478,46068
273.432,0,0,18478,46068
274.458,0,0,18478,46068
275.483,0,0,18478,46068
276.509,0,0,18478,46068
277.535,0,0,18478,46068
278.561,0,0,18478,46068
279.586,0,0,18478,46068
280.613,0,0,18478,46068
281.639,0,0,18478,46068
282.664,0,0,18478,46068
283.694,0,0,18478,46068
284.719,0,0,18478,46068
285.747,0,0,18478,46068
286.773,0,0,18478,46068
287.798,0,0,18478,46068
288.823,0,0,18478,46068
289.849,0,0,18478,46068
290.875,0,0,18478,46068
291.901,0,0,18478,46068
292.927,0,0,18478,46068
293.953,0,0,18478,46068
294.979,0,0,18478,46068
296.004,0,0,18478,46068
297.031,0,0,18478,46068
298.056,0,0,18478,46068
299.082,0,0,18478,46068
300.107,0,0,18478,46068
301.135,0,0,18478,46068
302.162,0,0,18478,46068
303.188,0,0,18478,46068
304.213,0,0,18478,46068
305.240,0,0,18478,46068
306.266,0,0,18478,46068
307.291,0,0,18478,46068
308.316,0,0,18478,46068
309.344,0,0,18478,46068
310.369,0,0,18478,46068
311.395,0,0,18478,46068
312.421,0,0,18478,46068
313.446,0,0,18478,46068
314.471,0,0,18478,46068
315.517,0,0,18478,46068
316.541,0,0,18478,46068
317.567,0,0,18478,46068
318.592,0,0,18478,46068
319.620,0,0,18478,46068
320.665,0,0,18478,46068
321.690,0,0,18478,46068
322.716,0,0,18478,46068
323.744,0,0,18478,46068
324.768,0,0,18478,46068
325.795,0,0,18478,46068
326.821,0,0,18478,46068
328.004,0,0,18478,46068
329.029,0,0,18478,46068
330.054,0,0,18478,46068
331.079,0,0,18478,46068
332.107,0,0,18478,46068
333.132,0,0,18478,46068
334.158,0,0,18478,46068
335.183,0,0,18478,46068
336.208,0,0,18478,46068
337.233,0,0,18478,46068
338.259,0,0,18478,46068
339.284,0,0,18478,46068
340.310,0,0,18478,46068
341.335,0,0,18478,46068
342.361,0,0,18478,46068
343.387,0,0,18478,46068
344.414,0,0,18478,46068
345.439,0,0,18478,46068
346.467,0,0,18478,46068
347.492,0,0,18478,46068
348.519,0,0,18478,46068
349.544,0,0,18478,46068
350.570,0,0,18478,46068
351.596,0,0,18478,46068
352.621,0,0,18478,46068
353.648,0,0,18478,46068
354.673,0,0,18478,46068
355.698,0,0,18478,46068
356.724,0,0,18478,46068
357.749,0,0,18478,46068
358.793,0,0,18478,46068
359.819,0,0,18478,46068
360.845,0,0,18478,46068
361.872,0,0,18478,46068
362.899,0,0,18478,46068
363.925,0,0,18478,46068
364.951,0,0,18478,46068
365.977,0,0,18478,46068
367.003,0,0,18478,46068
368.028,0,0,18478,46068
369.053,0,0,18478,46068
370.080,0,0,18478,46068
371.106,0,0,18478,46068
372.131,0,0,18478,46068
373.157,0,0,18478,46068
374.182,0,0,18478,46068
375.208,0,0,18478,46068
376.233,0,0,18478,46068
377.258,0,0,18478,46068
378.286,0,0,18480,46068
379.311,0,0,18480,46068
380.336,0,0,18480,46068
381.363,0,0,18480,46068
382.389,0,0,18480,46068
383.415,0,0,18480,46068
384.441,0,0,18480,46068
385.473,98,100,18482,46068
386.500,100,41,18482,46068
387.530,95,39,18482,46068
388.556,99,29,18482,46068
389.850,100,70,18482,46068
390.879,100,74,18482,46068
391.905,100,68,18482,46068
392.932,100,70,18482,46068
393.960,100,73,18482,46068
394.989,20,12,18916,46068
396.042,0,0,18916,46068
397.096,0,0,18916,46068
398.141,0,0,18918,46068
399.196,0,0,18920,46068
400.245,1,0,18922,46068
401.274,0,0,18922,46068
402.328,0,0,22812,46068
403.367,1,0,22814,46068
404.411,0,0,22816,46068
405.438,1,0,22818,46068
406.482,0,0,22818,46068
407.509,0,0,22820,46068
408.537,0,0,22822,46068
